draw_date,winning_numbers,num1,num2,num3,num4,num5,num6
2015-07-18,05 10 16 17 46 48,5,10,16,17,46,48
2015-07-22,08 13 20 44 50 55,8,13,20,44,50,55
2015-07-25,04 08 11 18 33 54,4,8,11,18,33,54
2015-07-29,02 15 18 20 47 58,2,15,18,20,47,58
2015-08-01,05 09 13 31 40 54,5,9,13,31,40,54
2015-08-05,16 21 24 35 43 47,16,21,24,35,43,47
2015-08-08,06 21 27 41 43 56,6,21,27,41,43,56
2015-08-12,06 09 16 21 36 44,6,9,16,21,36,44
2015-08-15,02 21 40 42 49 53,2,21,40,42,49,53
2015-08-19,05 11 23 25 48 58,5,11,23,25,48,58
2015-08-22,01 12 22 31 50 58,1,12,22,31,50,58
2015-08-26,03 24 31 33 41 48,3,24,31,33,41,48
2015-08-29,15 17 25 33 34 37,15,17,25,33,34,37
2015-09-02,08 19 22 31 41 58,8,19,22,31,41,58
2015-09-05,08 12 13 29 43 56,8,12,13,29,43,56
2015-09-09,02 05 08 24 28 41,2,5,8,24,28,41
2015-09-12,13 36 39 40 41 46,13,36,39,40,41,46
2015-09-16,02 31 36 40 46 51,2,31,36,40,46,51
2015-09-19,01 04 20 32 41 58,1,4,20,32,41,58
2015-09-23,01 07 30 31 42 44,1,7,30,31,42,44
2015-09-26,12 14 23 42 55 58,12,14,23,42,55,58
2015-09-30,02 03 23 31 37 55,2,3,23,31,37,55
2015-10-03,08 39 41 54 57 59,8,39,41,54,57,59
2015-10-07,01 09 13 35 49 59,1,9,13,35,49,59
2015-10-10,02 17 26 39 40 41,2,17,26,39,40,41
2015-10-14,13 35 42 47 48 58,13,35,42,47,48,58
2015-10-17,01 09 11 16 19 22,1,9,11,16,19,22
2015-10-21,01 07 10 12 43 48,1,7,10,12,43,48
2015-10-24,01 09 45 51 55 57,1,9,45,51,55,57
2015-10-28,01 16 18 25 28 55,1,16,18,25,28,55
2015-10-31,01 03 12 13 26 49,1,3,12,13,26,49
2015-11-04,12 14 21 45 50 55,12,14,21,45,50,55
2015-11-07,07 12 14 23 37 53,7,12,14,23,37,53
2015-11-11,05 08 09 17 28 48,5,8,9,17,28,48
2015-11-14,03 09 11 16 20 38,3,9,11,16,20,38
2015-11-18,03 30 31 35 37 52,3,30,31,35,37,52
2015-11-21,22 25 34 40 45 46,22,25,34,40,45,46
2015-11-25,13 32 35 42 52 54,13,32,35,42,52,54
2015-11-28,06 14 25 39 44 48,6,14,25,39,44,48
2015-12-02,03 18 26 28 41 53,3,18,26,28,41,53
2015-12-05,05 07 13 17 38 42,5,7,13,17,38,42
2015-12-09,04 05 12 21 32 41,4,5,12,21,32,41
2015-12-12,09 10 11 19 41 58,9,10,11,19,41,58
2015-12-16,15 16 23 30 43 54,15,16,23,30,43,54
2015-12-19,04 17 18 31 34 58,4,17,18,31,34,58
2015-12-23,03 05 08 13 47 55,3,5,8,13,47,55
2015-12-26,16 18 22 28 35 46,16,18,22,28,35,46
2015-12-30,04 11 18 37 51 59,4,11,18,37,51,59
2016-01-02,05 11 28 32 34 35,5,11,28,32,34,35
2016-01-06,21 22 29 32 39 47,21,22,29,32,39,47
2016-01-09,01 10 13 26 33 53,1,10,13,26,33,53
2016-01-13,20 31 34 40 42 54,20,31,34,40,42,54
2016-01-16,09 23 39 41 48 52,9,23,39,41,48,52
2016-01-20,10 16 17 21 33 58,10,16,17,21,33,58
2016-01-23,01 17 21 35 51 52,1,17,21,35,51,52
2016-01-27,10 36 46 48 54 56,10,36,46,48,54,56
2016-01-30,01 24 27 43 48 50,1,24,27,43,48,50
2016-02-03,13 14 20 34 41 49,13,14,20,34,41,49
2016-02-06,01 14 25 37 41 53,1,14,25,37,41,53
2016-02-10,11 14 21 28 40 49,11,14,21,28,40,49
2016-02-13,05 11 15 33 39 40,5,11,15,33,39,40
2016-02-17,04 19 25 46 52 55,4,19,25,46,52,55
2016-02-20,02 24 26 36 43 55,2,24,26,36,43,55
2016-02-24,01 12 15 24 35 41,1,12,15,24,35,41
2016-02-27,01 02 08 17 25 43,1,2,8,17,25,43
2016-03-02,27 35 36 43 52 54,27,35,36,43,52,54
2016-03-05,09 37 38 41 46 58,9,37,38,41,46,58
2016-03-09,15 22 23 30 36 38,15,22,23,30,36,38
2016-03-12,06 09 12 15 22 37,6,9,12,15,22,37
2016-03-16,04 07 09 20 52 57,4,7,9,20,52,57
2016-03-19,07 17 30 46 53 55,7,17,30,46,53,55
2016-03-23,04 08 15 29 40 56,4,8,15,29,40,56
2016-03-26,13 24 44 48 56 59,13,24,44,48,56,59
2016-03-30,06 09 34 44 54 59,6,9,34,44,54,59
2016-04-02,08 10 24 28 40 52,8,10,24,28,40,52
2016-04-06,03 05 10 50 54 57,3,5,10,50,54,57
2016-04-09,03 19 23 42 45 56,3,19,23,42,45,56
2016-04-13,12 23 25 29 42 46,12,23,25,29,42,46
2016-04-16,07 14 15 30 41 50,7,14,15,30,41,50
2016-04-20,08 10 22 23 32 34,8,10,22,23,32,34
2016-04-23,08 16 21 23 39 43,8,16,21,23,39,43
2016-04-27,20 31 41 43 48 59,20,31,41,43,48,59
2016-04-30,01 20 25 30 31 57,1,20,25,30,31,57
2016-05-04,16 18 26 44 49 51,16,18,26,44,49,51
2016-05-07,05 12 18 33 56 57,5,12,18,33,56,57
2016-05-11,08 30 31 32 36 49,8,30,31,32,36,49
2016-05-14,03 08 25 43 47 58,3,8,25,43,47,58
2016-05-18,19 26 42 47 49 59,19,26,42,47,49,59
2016-05-21,11 28 43 48 51 59,11,28,43,48,51,59
2016-05-25,05 12 13 22 25 35,5,12,13,22,25,35
2016-05-28,03 08 09 26 39 42,3,8,9,26,39,42
2016-06-01,09 13 15 25 38 56,9,13,15,25,38,56
2016-06-04,11 17 25 27 47 48,11,17,25,27,47,48
2016-06-08,02 16 22 44 56 59,2,16,22,44,56,59
2016-06-11,03 19 21 44 49 57,3,19,21,44,49,57
2016-06-15,08 24 31 39 54 59,8,24,31,39,54,59
2016-06-18,10 21 30 38 45 59,10,21,30,38,45,59
2016-06-22,31 40 42 48 49 57,31,40,42,48,49,57
2016-06-25,14 27 30 31 50 52,14,27,30,31,50,52
2016-06-29,04 11 18 37 50 53,4,11,18,37,50,53
2016-07-02,16 27 33 36 43 58,16,27,33,36,43,58
2016-07-06,23 25 36 43 46 48,23,25,36,43,46,48
2016-07-09,08 10 46 48 50 58,8,10,46,48,50,58
2016-07-13,04 05 10 32 34 44,4,5,10,32,34,44
2016-07-16,14 21 27 36 53 56,14,21,27,36,53,56
2016-07-20,02 26 32 40 43 59,2,26,32,40,43,59
2016-07-23,03 26 27 53 55 58,3,26,27,53,55,58
2016-07-27,04 14 30 33 49 54,4,14,30,33,49,54
2016-07-30,01 06 08 09 18 38,1,6,8,9,18,38
2016-08-03,09 16 22 27 46 51,9,16,22,27,46,51
2016-08-06,13 18 21 27 58 59,13,18,21,27,58,59
2016-08-10,09 12 14 17 26 28,9,12,14,17,26,28
2016-08-13,01 05 13 26 35 53,1,5,13,26,35,53
2016-08-17,15 21 26 39 46 53,15,21,26,39,46,53
2016-08-20,04 08 27 31 33 54,4,8,27,31,33,54
2016-08-24,41 43 49 57 58 59,41,43,49,57,58,59
2016-08-27,17 22 35 40 43 50,17,22,35,40,43,50
2016-08-31,17 23 24 28 32 57,17,23,24,28,32,57
2016-09-03,03 09 26 34 48 59,3,9,26,34,48,59
2016-09-07,16 22 31 37 48 52,16,22,31,37,48,52
2016-09-10,04 05 13 21 53 57,4,5,13,21,53,57
2016-09-14,05 17 18 32 37 56,5,17,18,32,37,56
2016-09-17,12 13 21 50 56 58,12,13,21,50,56,58
2016-09-21,04 08 13 30 36 58,4,8,13,30,36,58
2016-09-24,16 21 32 33 35 57,16,21,32,33,35,57
2016-09-28,07 43 48 54 58 59,7,43,48,54,58,59
2016-10-01,01 04 13 15 30 33,1,4,13,15,30,33
2016-10-05,01 28 29 31 55 58,1,28,29,31,55,58
2016-10-08,02 09 29 40 55 57,2,9,29,40,55,57
2016-10-12,01 12 17 28 46 47,1,12,17,28,46,47
2016-10-15,01 08 17 18 24 42,1,8,17,18,24,42
2016-10-19,02 17 25 36 40 46,2,17,25,36,40,46
2016-10-22,14 26 30 35 50 56,14,26,30,35,50,56
2016-10-26,18 22 41 45 49 56,18,22,41,45,49,56
2016-10-29,10 13 40 44 51 55,10,13,40,44,51,55
2016-11-02,09 21 24 26 50 54,9,21,24,26,50,54
2016-11-05,05 11 15 23 26 42,5,11,15,23,26,42
2016-11-09,21 23 25 28 46 59,21,23,25,28,46,59
2016-11-12,12 22 28 30 48 59,12,22,28,30,48,59
2016-11-16,02 21 25 26 40 57,2,21,25,26,40,57
2016-11-19,13 25 32 47 52 57,13,25,32,47,52,57
2016-11-23,06 09 10 18 25 42,6,9,10,18,25,42
2016-11-26,06 16 22 25 31 56,6,16,22,25,31,56
2016-11-30,07 13 18 19 38 51,7,13,18,19,38,51
2016-12-03,12 42 49 53 54 59,12,42,49,53,54,59
2016-12-07,08 09 19 34 39 43,8,9,19,34,39,43
